OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
UN Developmt Coordination Unit,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"4,902,561"
UN Developmt Coordination Unit,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,"3,911,343"
UN Developmt Coordination Unit,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,"2,554,278"
Somalia,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"1,587,214"
Somalia,10480,USAID,USA,United States of America,USAID,USAID,"1,000,000"
UN Developmt Coordination Unit,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,"987,302"
Syria,10480,USAID,USA,United States of America,USAID,USAID,"734,364"
UN Developmt Coordination Unit,134,GOVERNMENT OF IRELAND,IRL,Ireland,IRL_GOVT,Ireland Government,"712,755"
Mali,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"630,099"
UN Developmt Coordination Unit,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"626,204"
Syria,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"477,134"
Ethiopia,10480,USAID,USA,United States of America,USAID,USAID,"363,949"
"Sudan, Republic of the",10480,USAID,USA,United States of America,USAID,USAID,"346,734"
Viet Nam,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"327,654"
Kenya,10480,USAID,USA,United States of America,USAID,USAID,"250,000"
Colombia,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"240,704"
Syria,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"147,493"
UN Developmt Coordination Unit,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"129,503"
UN Developmt Coordination Unit,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,"92,838"
Security Operations,10480,USAID,USA,United States of America,USAID,USAID,"78,465"
Russian Federation,10480,USAID,USA,United States of America,USAID,USAID,"67,877"
Algeria,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"50,000"
UN Developmt Coordination Unit,12109,Micronutrient Initiative Canad,-,-,-,-,"48,356"
UN Developmt Coordination Unit,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,"35,677"
Peru,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"27,122"
Russian Federation,25,EUROPEAN BANK FOR RECONSTRUCTI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EBRD,Euro Bank for Reconstruct & De,"20,853"
Ukraine,-,-,-,-,-,-,"20,000"
UN Developmt Coordination Unit,11688,DEUTSCHE GESELLSCHAFT FUR INTE,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,"13,569"
Russian Federation,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,"12,113"
Russian Federation,43,INTERNATIONAL ORGANIZATION FOR,UN_AGY 1,UN AGENCY 1,IOM,AGY_INTERNATIONAL ORGANIZATION,"4,974"
Russian Federation,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,"3,642"
